State,County,Q1 2026 % Underwater,Q1 2025 % underwater,2025_pct,2026_pct,Change,Report
Florida,Hillsborough,0.0221027742749054,0.0143716513509543,1.43716513509543,2.21027742749054,0.7731122923951099,"- **Hillsborough, Florida**: +0.8% (from 1.4% to 2.2%)"
South Carolina,Lexington,0.0413534917206623,0.0336286838962685,3.3628683896268505,4.13534917206623,0.7724807824393798,"- **Lexington, South Carolina**: +0.8% (from 3.4% to 4.1%)"
Pennsylvania,Fayette,0.0877240143369175,0.0800018338529249,8.000183385292491,8.77240143369175,0.7722180483992584,"- **Fayette, Pennsylvania**: +0.8% (from 8.0% to 8.8%)"
Kentucky,Kenton,0.0509705634127004,0.0432538962217669,4.32538962217669,5.09705634127004,0.7716667190933499,"- **Kenton, Kentucky**: +0.8% (from 4.3% to 5.1%)"
Minnesota,Washington,0.0284816576086956,0.0207767271673368,2.0776727167336797,2.84816576086956,0.7704930441358804,"- **Washington, Minnesota**: +0.8% (from 2.1% to 2.8%)"
Alabama,Houston,0.0460312776630274,0.0383756712725517,3.8375671272551695,4.60312776630274,0.7655606390475707,"- **Houston, Alabama**: +0.8% (from 3.8% to 4.6%)"
North Carolina,Cabarrus,0.0249598263664252,0.0173433862320852,1.73433862320852,2.49598263664252,0.7616440134340001,"- **Cabarrus, North Carolina**: +0.8% (from 1.7% to 2.5%)"
North Carolina,Pitt,0.0310478199718706,0.0234557686081231,2.3455768608123098,3.10478199718706,0.7592051363747503,"- **Pitt, North Carolina**: +0.8% (from 2.3% to 3.1%)"
Delaware,Kent,0.0275300105390329,0.0200579578385135,2.00579578385135,2.75300105390329,0.74720527005194,"- **Kent, Delaware**: +0.7% (from 2.0% to 2.8%)"
Georgia,Walton,0.0310372992104546,0.0235665471484171,2.35665471484171,3.10372992104546,0.7470752062037498,"- **Walton, Georgia**: +0.7% (from 2.4% to 3.1%)"
North Carolina,Alamance,0.0336923717348319,0.0262841573844058,2.62841573844058,3.36923717348319,0.7408214350426099,"- **Alamance, North Carolina**: +0.7% (from 2.6% to 3.4%)"
Texas,Kaufman,0.0356344673454184,0.0282610471289716,2.8261047128971604,3.5634467345418397,0.7373420216446793,"- **Kaufman, Texas**: +0.7% (from 2.8% to 3.6%)"
Pennsylvania,Berks,0.0311115854634719,0.0237812000985971,2.37812000985971,3.1111585463471902,0.7330385364874803,"- **Berks, Pennsylvania**: +0.7% (from 2.4% to 3.1%)"
Maryland,Wicomico,0.0501937380305527,0.0429594272076372,4.29594272076372,5.01937380305527,0.7234310822915502,"- **Wicomico, Maryland**: +0.7% (from 4.3% to 5.0%)"
Arizona,Navajo,0.0372796455062132,0.0300715528911235,3.00715528911235,3.72796455062132,0.7208092615089701,"- **Navajo, Arizona**: +0.7% (from 3.0% to 3.7%)"
Indiana,La Porte,0.0268541619414833,0.0196546398989189,1.96546398989189,2.68541619414833,0.7199522042564399,"- **La Porte, Indiana**: +0.7% (from 2.0% to 2.7%)"
Oregon,Jackson,0.0300835073068893,0.0230340870739115,2.3034087073911502,3.00835073068893,0.7049420232977797,"- **Jackson, Oregon**: +0.7% (from 2.3% to 3.0%)"
Alabama,Tuscaloosa,0.0518009049773755,0.044793655456014,4.4793655456014,5.180090497737551,0.7007249521361505,"- **Tuscaloosa, Alabama**: +0.7% (from 4.5% to 5.2%)"
Maryland,Frederick,0.0245983134689268,0.0176564610256855,1.7656461025685501,2.4598313468926802,0.6941852443241301,"- **Frederick, Maryland**: +0.7% (from 1.8% to 2.5%)"
Missouri,Franklin,0.0563354603463992,0.0494199963174369,4.941999631743689,5.63354603463992,0.6915464028962308,"- **Franklin, Missouri**: +0.7% (from 4.9% to 5.6%)"
Kansas,Sedgwick,0.0451784087051298,0.038313859494415,3.8313859494415,4.51784087051298,0.6864549210714794,"- **Sedgwick, Kansas**: +0.7% (from 3.8% to 4.5%)"
Arizona,Mohave,0.0323540726043206,0.0256240564184228,2.56240564184228,3.23540726043206,0.67300161858978,"- **Mohave, Arizona**: +0.7% (from 2.6% to 3.2%)"
California,Sonoma,0.0248617189574937,0.0181335487966757,1.81335487966757,2.48617189574937,0.6728170160817999,"- **Sonoma, California**: +0.7% (from 1.8% to 2.5%)"
Michigan,Bay,0.0292295944340743,0.0225037577839811,2.25037577839811,2.92295944340743,0.67258366500932,"- **Bay, Michigan**: +0.7% (from 2.3% to 2.9%)"
